channel,spend_eur,true_roi,roi_median,roi_hdi94_low,roi_hdi94_high,true_contribution,contribution_median,true_adstock_decay,adstock_alpha_median,adstock_alpha_hdi94,roi_error_pct,truth_inside_hdi
search,1877662.0270416508,5.354809533588546,3.3832896905388576,1.1705263745848384,6.892209965431504,10054522.523259826,6352674.578406312,0.2,0.3601999325216221,"[0.026298444884109266, 0.8854235320674035]",-36.81773984085045,True
social,1128621.9507053606,5.496480326098268,4.363863690902522,2.202603294788562,7.944988074588161,6203448.347654664,4925152.351438699,0.45,0.3576803337388013,"[0.0982687923611908, 0.6407360507707284]",-20.606216487629013,True
video,1345015.9718069737,4.532687753621431,5.69846803489294,3.5226911647453334,8.575739859076661,6096537.423834698,7664530.521762502,0.7,0.7191157994583108,"[0.5725378706217256, 0.8241211385679158]",25.719404129263012,True
display,524072.4651875372,2.912191830072112,5.4362583959829855,1.978562480888616,11.82811738711708,1526199.551484897,2848993.33897925,0.3,0.22397334369253263,"[0.011896395030922232, 0.6999786604215297]",86.67240048703704,True
