,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
adstock_halflife[spend_search],0.7134976124740289,0.3957981902751895,0.23899287005202782,1.4207399807770225,3507.866828983148,3968.32965741277,1.000995403927866,0.006356896760423541,0.009401065061306538
adstock_halflife[spend_social],0.6934644795125301,0.3555924582209815,0.27864800627599734,1.308844400412894,3983.322431470447,3200.907370829116,1.0002147699963613,0.00552386331336497,0.009723419242060428
adstock_halflife[spend_video],2.0934827975804238,0.4264607866765686,1.4876088340524232,2.8339974035557334,4672.543320392416,4478.066487051686,1.0001736173537699,0.006241719519354841,0.005422496879777881
adstock_halflife[spend_display],0.633860878563031,0.6494388174370959,0.18462873734994667,1.636291196963365,3082.4604982082533,2691.7869147429637,1.0006226817086696,0.01314016988090905,0.04829544374854016
saturation_slope[spend_search],1.3780529879230277,0.5028297517818214,0.6943453921835728,2.2690244922810954,1841.1659093066999,2559.0245634284934,1.0017799119630861,0.011409967918948827,0.009629344927131493
saturation_slope[spend_social],1.244858018130276,0.4207642353251769,0.659762498083299,1.990066628339535,2840.2646584776558,2877.9581562647772,1.0021270291601942,0.007659606918700159,0.00632001352498178
saturation_slope[spend_video],1.3449820088467226,0.26729733405602524,1.0403127709517075,1.855524648431584,1704.1832161718044,2489.984121578831,1.002793215761943,0.006209737959023278,0.00671483395599553
saturation_slope[spend_display],1.3234741851586183,0.44434784594223775,0.7019450829849692,2.1152304436463765,5024.991167210148,4459.5305869029235,1.0011381371315433,0.006168464143526828,0.005001815498195349
saturation_kappa[spend_search],0.5128034606964879,0.23543938394332228,0.12643807018124179,0.8727314486269493,662.3957642173349,534.2530379155888,1.0042785035233122,0.008846018541994611,0.004484189316046916
saturation_kappa[spend_social],0.4747480441608061,0.22096897304829935,0.1532324694526472,0.8482530352816336,2311.9357002135116,2862.580648788885,1.0012381148881913,0.004655146552713373,0.002477902407789397
saturation_kappa[spend_video],0.48547149840576664,0.1982283605603149,0.20580206780294152,0.8330116897568635,831.6910085025055,1059.645549852402,1.0063556471529205,0.007147032938212347,0.003995107104846825
saturation_kappa[spend_display],0.5044652619761723,0.2203056737269334,0.1632987127881644,0.865752118992951,3621.234967131374,3409.895236709861,1.0011712326603435,0.0036840642798454974,0.0019601746543358107
saturation_beta[spend_search],0.22297877365717614,0.12100076408038972,0.08603568607100315,0.4424097271109224,452.0170788985116,629.3294957893542,1.0111999976489405,0.00623823475873514,0.007482432898084449
saturation_beta[spend_social],0.1163502030782897,0.05063671587663823,0.05176295942428336,0.20772817865816337,1915.3128254509331,2456.8416149909194,1.0028741212306125,0.0011294672411351645,0.001126860127384846
saturation_beta[spend_video],0.2650118480063692,0.09210490762292234,0.13808837968948887,0.4263570387100428,929.3159345724465,1451.1235413763318,1.005672999140838,0.003089235909795777,0.002331371494277826
saturation_beta[spend_display],0.07500712572022733,0.04003117500460257,0.028068641903378485,0.1453986942739405,1942.4126654912225,2319.839293973564,1.00145498444533,0.0009014866832945712,0.0011335247300012627
gamma_control[price_index],-0.1965348635795486,0.06313049502401656,-0.29853980745719305,-0.09778140014614327,977.3284857369367,1412.1242739274346,1.0028361512966493,0.00202051876272558,0.001478438135256518
gamma_control[trend],0.15645987555415605,0.010363514553867212,0.1396610824476441,0.17285066440821284,4878.00455766405,4550.186525249722,1.0006649995965677,0.00014813673258250745,0.00010730240205212207
