channel,spend_eur,true_roi,roi_median,roi_hdi94_low,roi_hdi94_high,true_contribution,contribution_median,true_adstock_decay,adstock_alpha_median,adstock_alpha_hdi94,roi_error_pct,truth_inside_hdi
search,1877662.0270416508,5.354809533588546,7.9770287386941785,0.7803820647059451,50.08676440708317,10054522.523259826,14978163.951266015,0.2,0.3496251632455535,"[0.031820006256663036, 0.6884274909832749]",48.96942064246199,True
social,1128621.9507053606,5.496480326098268,11.75295270634226,1.7764755770194005,85.36738254989393,6203448.347654664,13264640.40997985,0.45,0.32095832157219484,"[0.07307861151105148, 0.6178133854521466]",113.82688573517031,True
video,1345015.9718069737,4.532687753621431,4.151559735246623,2.757645250901282,5.749692906727036,6096537.423834698,5583914.15181744,0.7,0.7137877300193564,"[0.6078689774738286, 0.798026077793215]",-8.408433121613157,True
display,524072.4651875372,2.912191830072112,10.88276776405662,1.5035937008608955,167.356079010228,1526199.551484897,5703358.930172615,0.3,0.2304659035369478,"[0.016090729878806886, 0.7374475904902918]",273.69680292617056,True
