channel,spend_eur,true_roi,roi_median,roi_hdi94_low,roi_hdi94_high,true_contribution,contribution_median,true_adstock_decay,adstock_alpha_median,adstock_alpha_hdi94,roi_error_pct,truth_inside_hdi
search,1877662.0270416508,5.354809533588546,4.67272093088604,1.6039447785179382,14.888837722614113,10054522.523259826,8773790.654887432,0.2,0.34356604827526266,"[0.028700697052970764, 0.6705932810752788]",-12.737868609967196,True
social,1128621.9507053606,5.496480326098268,2.9815539652910754,1.4193765591958796,5.336527941787722,6203448.347654664,3365047.252440117,0.45,0.3384938223613273,"[0.05597371132724107, 0.6667104572940864]",-45.75521445725684,False
video,1345015.9718069737,4.532687753621431,4.415769102713198,3.2723003017466024,5.772972109628233,6096537.423834698,5939279.970961,0.7,0.7170408552494034,"[0.6171219466645995, 0.7953981921797785]",-2.5794552209077226,True
display,524072.4651875372,2.912191830072112,5.083454356719309,1.8560666926372635,11.997334034389958,1526199.551484897,2664098.456394214,0.3,0.20878369277151104,"[0.010937231484872259, 0.720447869912115]",74.55767522682157,True
