channel,spend_eur,true_roi,roi_median,roi_hdi94_low,roi_hdi94_high,true_contribution,contribution_median,true_adstock_decay,adstock_alpha_median,adstock_alpha_hdi94,roi_error_pct,truth_inside_hdi
search,1877662.0270416508,5.354809533588546,1.7595340640862203,0.29945396115965817,5.290815041880417,10054522.523259826,3303810.2974209664,0.2,0.3652117371757336,"[0.023478448419110478, 0.9140434021490429]",-67.141052299818,False
social,1128621.9507053606,5.496480326098268,3.8656542730969585,1.5466251459204272,7.399311561608972,6203448.347654664,4362862.266455201,0.45,0.33832318149543505,"[0.07303562503493573, 0.6341876942289667]",-29.67037005950621,True
video,1345015.9718069737,4.532687753621431,5.349149262459975,3.2167211733011736,8.384584661517275,6096537.423834698,7194691.19358816,0.7,0.7036553211879097,"[0.5483410832349122, 0.8166147812086941]",18.012745488286175,True
display,524072.4651875372,2.912191830072112,3.720466790559154,0.4772625200168588,9.692952227319351,1526199.551484897,1949794.2025767001,0.3,0.2172592267352631,"[0.01117063174455432, 0.812788063492794]",27.754866700076807,True
