channel,spend_eur,true_roi,roi_median,roi_hdi94_low,roi_hdi94_high,true_contribution,contribution_median,true_adstock_decay,adstock_alpha_median,adstock_alpha_hdi94,roi_error_pct,truth_inside_hdi
search,1877662.0270416508,5.354809533588546,3.3424280505797253,0.6093079142338681,6.649126382137395,10054522.523259826,6275950.228692401,0.2,0.35741095538034967,"[0.028950957278124904, 0.8883796721116726]",-37.580822817057616,True
social,1128621.9507053606,5.496480326098268,4.889159387713414,2.1864811165771956,8.857487860846014,6203448.347654664,5518012.605470539,0.45,0.3809664414874056,"[0.10559188734760495, 0.6740065036344732]",-11.049269757251501,True
video,1345015.9718069737,4.532687753621431,5.934469641938344,3.794381655394207,8.765129108158343,6096537.423834698,7981956.452610685,0.7,0.7293661701556715,"[0.5950451891393629, 0.8294189494665792]",30.926063397968395,True
display,524072.4651875372,2.912191830072112,8.188227191438925,2.832230481161467,18.36213786443692,1526199.551484897,4291224.409733021,0.3,0.3317531344752796,"[0.027447080341631014, 0.7638253210354414]",181.17059827189226,True
